timestamp,symbol,exchange,direction,quantity,price,product,stop_loss,target,risk_reward,regime,composite_signal,agreement,value,pct_of_capital,status,order_id
2026-03-17T10:55:26.435156+05:30,BPCL,NSE,SELL,16,0,MIS,329.09,261.62,1.5,Bear,-0.4252,0.75,4833.6,0.0483,paper,PAPER-20260317105526
2026-03-17T10:55:35.227668+05:30,BAJAJFINSV,NSE,SELL,2,0,MIS,1866.17,1614.99,1.5,Bear,-0.4134,0.62,3531.4,0.0353,paper,PAPER-20260317105535
2026-03-17T11:00:44.126006+05:30,TCS,NSE,SELL,2,0,MIS,2506.4,2220.4,1.5,Bear,-0.5272,0.62,4784.0,0.0478,paper,PAPER-20260317110044
2026-03-17T11:00:45.511076+05:30,INFY,NSE,SELL,4,0,MIS,1301.53,1142.96,1.5,Bear,-0.4718,0.62,4952.4,0.0495,paper,PAPER-20260317110045
2026-03-17T11:00:49.630948+05:30,HCLTECH,NSE,SELL,3,0,MIS,1390.03,1219.71,1.5,Bear,-0.4022,0.62,3965.7,0.0397,paper,PAPER-20260317110049
2026-03-17T11:00:58.135182+05:30,WIPRO,NSE,SELL,26,0,MIS,200.59,175.19,1.5,Bear,-0.4983,0.62,4951.18,0.0495,paper,PAPER-20260317110058
2026-03-17T11:01:08.000918+05:30,CIPLA,NSE,SELL,3,0,MIS,1342.44,1215.34,1.5,Bear,-0.4038,0.75,3874.8,0.0387,paper,PAPER-20260317110108
2026-03-17T11:01:10.164668+05:30,BPCL,NSE,SELL,16,0,MIS,329.74,262.27,1.5,Bear,-0.4228,0.75,4844.0,0.0484,paper,PAPER-20260317110110
2026-03-17T11:01:19.549515+05:30,BAJAJFINSV,NSE,SELL,2,0,MIS,1866.77,1615.59,1.5,Bear,-0.4129,0.62,3532.6,0.0353,paper,PAPER-20260317110119
2026-03-17T11:06:27.912176+05:30,TCS,NSE,SELL,2,0,MIS,2507.7,2221.7,1.5,Bear,-0.5265,0.62,4786.6,0.0479,paper,PAPER-20260317110627
2026-03-17T11:06:29.386490+05:30,INFY,NSE,SELL,4,0,MIS,1302.93,1144.36,1.5,Bear,-0.4706,0.62,4958.0,0.0496,paper,PAPER-20260317110629
